,ADA,BCH,BTC,DOGE,ETH,LINK,LTC,XLM,XRP,Total,Invested
2020-08-24,18.957768,557.4404375,1075.5992656679116,14.062050449045495,344.04130969999994,116.10866000000001,1666.0519049999998,7.899069999999999,331.86830599999996,4132.028772316957,2447.501888520344
2020-08-25,17.165727999999998,526.2540300000001,1031.7483139771825,13.505003262183699,321.7718768,107.82031999999998,1559.7293599999998,7.426773599999999,316.680192,3902.101597639366,2453.080840452749
2020-08-26,17.385029999999997,522.5015249999999,1040.3822344770686,13.462437641276525,322.72425899999996,115.59599999999999,1546.4767499999998,7.4521394999999995,315.417375,3901.397750618345,2457.2913204454067
2020-08-27,16.300832,503.0334875,1028.0668893481052,13.074824261081606,320.29766340000003,110.39555999999999,1492.582945,7.130853699999999,301.664231,3792.5472862091865,2461.433389199424
2020-08-28,16.499928,506.88594,1038.5087716061214,13.239845980941316,328.0602336,114.12576,1515.8648400000002,7.2234359999999995,307.51306800000003,3847.921823187063,2476.507262727672
2020-08-29,17.553171999999996,506.1076474999999,1033.7810727148153,13.293265550355704,331.19376289999997,123.56707999999999,1507.8809199999998,7.2705177999999995,310.20171,3850.8491484651713,2481.0414578957866
2020-08-30,17.70725,526.282075,1053.2792422440962,13.354720384318284,355.48547649999995,124.1768,1658.3028,7.3971095,319.86075,4075.846223628414,2471.2138347133614
2020-08-31,18.47545,515.691285,1048.6785868114464,12.996571253012057,359.841438,117.48878,1608.683825,7.301196200000001,318.07938,4007.2365122644583,2476.0707149174746
2020-09-01,18.6999,548.248775,1068.7692628242737,13.080364896280363,393.04185799999993,120.38530000000002,1648.5952,7.425888,332.64794,4150.894488720553,2467.547555035578
2020-09-02,17.33841,497.7625124999999,1025.566445707208,12.634486174839122,364.83772049999993,111.666,1533.4835249999999,6.967053,312.355455,3882.6116078820473,2470.77118801564
2020-09-03,14.454269199999999,409.02246,926.1450686786603,11.38523630833353,321.3351141,90.97039000000001,1263.6774149999999,5.967014900000001,281.2125050000001,3324.1694731869934,2510.060089450384
2020-09-04,15.445232,437.26652750000005,947.9356875813947,11.764246387956485,322.24515510000003,94.02436999999999,1339.22019,6.1385676,289.590499,3463.630475169351,2481.809018094606
2020-09-05,13.620600000000001,426.6842125,918.2133177072457,11.239905608291252,278.9188633,80.2102,1265.9591,5.6994644,269.248994,3269.7946575155365,2462.844583196671
2020-09-06,14.062235999999999,432.26948999999996,929.4501069867109,11.368296796975612,294.4937456999999,97.1904,1272.96645,5.8762227,273.021501,3330.698449183686,2466.7239143556562
2020-09-07,14.270255999999998,435.90219749999994,943.7740924841544,11.532015312145024,296.4455109,95.05881,1302.54201,5.991678,276.7149,3382.2314701962987,2452.665337910277
2020-09-08,14.044663199999997,429.06747,932.6226299793518,11.390735563424595,286.29523559999996,90.663,1281.4347,5.9706408,273.73281599999996,3325.2218911427763,2437.5560206576415
2020-09-09,14.3753386,431.4642875,939.6169635002344,11.504012264721455,297.243364,95.05502,1289.25111,6.029138100000001,276.15254999999996,3360.6917839649554,2446.95199865309
2020-09-10,15.1499236,443.58270999999996,962.6440688457493,11.77345534283194,315.7477202,97.525,1328.7586199999998,6.3297626,284.3829,3465.894160588581,2423.0397530254877
2020-09-11,15.1471414,439.5536175,967.968732004941,11.730654338974515,320.86223509999996,97.11907999999998,1337.534275,6.5352397,283.979625,3480.4306000439155,2422.6668104553264
2020-09-12,15.301386000000003,450.49904999999995,975.7604681907466,11.840955434345524,334.020753,99.5976,1392.4480500000002,6.564672000000001,290.68875,3576.721684625092,2441.8034191349957
2020-09-13,14.8746522,434.35251750000003,964.6074809838026,11.700042195150367,315.126086,94.42361,1317.8234650000002,6.2560531,283.990546,3443.1544529789535,2446.4770280821217
2020-09-14,15.0820104,440.57481999999993,994.088266766613,11.680013685623445,323.717724,94.74056,1340.5711199999998,6.256466800000001,287.49936,3514.2103416522364,2451.2251739497447
2020-09-15,14.524554800000002,458.63937,1003.8674736011285,11.851232748365028,312.29196460000003,85.23214,1318.5248300000003,6.066844,284.58801,3495.586419749494,2456.1752459568143
2020-09-16,14.1986916,447.57841500000006,1014.2675679291108,11.694550463715245,311.441031,83.32092000000002,1296.55575,6.0993395999999995,286.88308200000006,3472.039347592826,2466.743894857326
2020-09-17,14.5579392,450.46748249999996,1010.207713492066,11.675368365482022,331.36410450000005,85.18437,1322.5627800000002,6.222095400000001,292.574655,3524.8165084575485,2456.0468486109585
2020-09-18,14.1177918,454.31016750000003,1012.9598843089137,11.635337679223975,328.19945619999993,78.32867,1318.040955,6.070666,291.81117,3515.4740984881378,2446.862517083675
2020-09-19,14.217911399999998,453.3796575,1028.539637210857,11.660500546528683,329.54415339999997,78.70323999999998,1320.69014,6.1096112,293.02958299999995,3535.8744342573855,2462.132152568293
2020-09-20,13.8758208,439.07361,1011.951994513784,11.570078024969716,316.8573804,75.590304,1279.62366,5.9712924,287.0739,3441.588040138754,2456.957103617975
2020-09-21,12.485412,415.3593,972.3265834191897,10.913890548925844,292.562622,68.12002,1181.0155,5.466962,270.74404000000004,3228.994329968116,2447.4678235917586
2020-09-22,12.803882800000002,432.2646475,987.6846785990454,11.162599506062657,297.5055886,68.68766000000001,1223.2140550000001,5.6301876,274.67205000000007,3313.625349605108,2441.1541254639815
2020-09-23,12.053899,408.54742500000003,961.2970980110654,10.752680098205763,277.08159049999995,60.05714,1182.5814,5.294718,261.21238000000005,3178.878330609271,2436.1244525701254
